step,node,q0,q1,q2,q3,q4,q5,queue_total,phase,reward,cum_reward
0,Node1,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node2,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node3,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node4,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node5,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node6,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node8,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node9,0,0,0,0,0,0,0,0,-0.0,0.0
0,Node10,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node1,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node2,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node3,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node4,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node5,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node6,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node8,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node9,0,0,0,0,0,0,0,0,-0.0,0.0
100,Node10,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node1,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node2,1,0,0,0,0,0,1,0,-1.0,-1.0
200,Node3,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node4,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node5,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node6,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node8,0,0,0,0,0,0,0,0,-0.0,0.0
200,Node9,1,0,0,0,0,0,1,0,-1.0,-1.0
200,Node10,0,0,0,0,0,0,0,0,-0.0,0.0
300,Node1,0,0,0,0,0,0,0,0,-0.0,0.0
300,Node2,0,0,0,0,0,0,0,0,-0.0,-1.0
300,Node3,0,0,0,0,0,0,0,0,-0.0,0.0
300,Node4,0,0,0,0,0,0,0,0,-0.0,0.0
300,Node5,0,0,0,1,0,0,1,0,-1.0,-1.0
300,Node6,0,0,0,0,0,0,0,0,-0.0,0.0
300,Node8,0,0,0,0,0,0,0,0,-0.0,0.0
300,Node9,1,0,0,0,0,0,1,0,-1.0,-2.0
300,Node10,0,0,0,0,0,0,0,0,-0.0,0.0
400,Node1,0,0,0,0,0,0,0,0,-0.0,0.0
400,Node2,0,0,1,0,0,0,1,0,-1.0,-2.0
400,Node3,0,0,0,0,0,0,0,0,-0.0,0.0
400,Node4,0,0,0,0,0,0,0,0,-0.0,0.0
400,Node5,0,0,0,0,0,0,0,0,-0.0,-1.0
400,Node6,0,0,0,0,0,0,0,0,-0.0,0.0
400,Node8,0,0,0,0,0,0,0,0,-0.0,0.0
400,Node9,1,0,0,0,0,0,1,0,-1.0,-3.0
400,Node10,0,0,0,0,0,0,0,0,-0.0,0.0
500,Node1,0,0,0,0,0,1,1,2,-1.0,-1.0
500,Node2,1,0,0,0,0,0,1,2,-1.0,-3.0
500,Node3,0,0,1,0,0,0,1,2,-1.0,-1.0
500,Node4,0,0,0,0,0,0,0,2,-0.0,0.0
500,Node5,0,0,0,0,1,0,1,2,-1.0,-2.0
500,Node6,0,0,0,0,0,0,0,2,-0.0,0.0
500,Node8,0,0,1,0,0,0,1,2,-1.0,-1.0
500,Node9,2,0,0,0,0,0,2,2,-2.0,-5.0
500,Node10,0,0,0,0,0,0,0,2,-0.0,0.0
600,Node1,1,0,0,0,0,0,1,2,-1.0,-2.0
600,Node2,0,0,0,0,0,0,0,2,-0.0,-3.0
600,Node3,0,1,0,0,0,0,1,2,-1.0,-2.0
600,Node4,0,0,0,0,0,0,0,2,-0.0,0.0
600,Node5,0,0,0,1,0,1,2,2,-2.0,-4.0
600,Node6,0,0,0,0,0,0,0,2,-0.0,0.0
600,Node8,0,0,0,0,0,1,1,2,-1.0,-2.0
